Year,Genotype,N,Block,Yield
2006,A,1,3,2.826
2006,A,2,1,3.851
2006,A,2,2,2.129
2006,A,2,3,5.636
2006,B,1,1,2.822
2006,B,1,2,2.173
2006,B,1,3,3.950
2006,B,2,1,2.670
2006,B,2,2,4.421
2006,B,2,3,2.163
2006,C,1,1,1.794
2006,C,1,2,2.248
2006,C,1,3,1.720
2006,C,2,1,3.677
2006,C,2,2,1.366
2006,C,2,3,3.776
2006,D,1,1,4.572
2006,D,1,2,3.584
2006,D,1,3,4.581
2006,D,2,1,4.117
2006,D,2,2,4.424
2006,D,2,3,3.620
2006,E,1,1,3.602
2006,E,1,2,3.362
2006,E,1,3,3.332
2006,E,2,1,2.876
2006,E,2,2,4.609
2006,E,2,3,3.804
2006,F,1,1,3.454
2006,F,1,2,3.355
2006,F,1,3,3.579
2006,F,2,1,6.178
2006,F,2,2,4.094
2006,F,2,3,5.580
2006,G,1,1,3.695
2006,G,1,2,3.787
2006,G,1,3,2.817
2006,G,2,1,4.231
2006,G,2,2,2.841
2006,G,2,3,4.253
2006,H,1,1,2.571
2006,H,1,2,4.416
2006,H,1,3,2.614
2006,H,2,1,2.234
2006,H,2,2,2.538
2006,H,2,3,1.651
2006,I,1,1,2.453
2006,I,1,2,2.463
2006,I,1,3,1.530
2006,I,2,1,4.288
2006,I,2,2,4.290
2006,I,2,3,4.779
2006,J,1,1,2.983
2006,J,1,2,4.755
2006,J,1,3,2.519
2006,J,2,1,5.410
2006,J,2,2,4.257
2006,J,2,3,5.498
2006,K,1,1,1.977
2006,K,1,2,3.312
2006,K,1,3,1.970
2006,K,2,1,2.104
2006,K,2,2,3.344
2006,K,2,3,2.609
2006,L,1,1,2.409
2006,L,1,2,1.713
2006,L,1,3,2.632
2006,L,2,1,2.983
2006,L,2,2,4.736
2006,L,2,3,4.366
2006,M,1,1,3.242
2006,M,1,2,1.541
2006,M,1,3,2.546
2006,M,2,1,2.730
2006,M,2,2,3.044
2006,M,2,3,3.894
2006,N,1,1,3.251
2006,N,1,2,4.256
2006,N,1,3,2.250
2006,N,2,1,2.991
2006,N,2,2,6.012
2006,N,2,3,5.899
2006,O,1,1,2.683
2006,O,1,2,3.747
2006,O,1,3,3.137
2006,O,2,1,3.351
2006,O,2,2,4.577
2006,O,2,3,4.508
2007,A,1,1,3.311
2007,A,1,2,1.964
2007,A,1,3,0.870
2007,A,2,1,3.942
2007,A,2,2,1.529
2007,A,2,3,3.016
2007,B,1,1,3.481
2007,B,1,2,2.403
2007,B,1,3,4.691
2007,B,2,1,1.029
2007,B,2,2,3.332
2007,B,2,3,1.801
2007,C,1,1,1.991
2007,C,1,2,1.307
2007,C,1,3,2.494
2007,C,2,1,0.754
2007,C,2,2,1.623
2007,C,2,3,1.599
2007,D,1,1,3.274
2007,D,1,2,3.051
2007,D,1,3,3.571
2007,D,2,1,4.180
2007,D,2,2,2.795
2007,D,2,3,2.927
2007,E,1,1,-0.321
2007,E,1,2,2.854
2007,E,1,3,2.106
2007,E,2,1,4.029
2007,E,2,2,2.742
2007,E,2,3,4.216
2007,F,1,1,3.468
2007,F,1,2,2.677
2007,F,1,3,3.694
2007,F,2,1,1.313
2007,F,2,2,2.094
2007,F,2,3,1.732
2007,G,1,1,3.495
2007,G,1,2,2.831
2007,G,1,3,2.668
2007,G,2,1,1.084
2007,G,2,2,2.427
2007,G,2,3,2.057
2007,H,1,1,2.853
2007,H,1,2,1.185
2007,H,1,3,3.121
2007,H,2,1,1.889
2007,H,2,2,3.816
2007,H,2,3,2.516
2007,I,1,1,1.210
2007,I,1,2,2.365
2007,I,1,3,2.610
2007,I,2,1,2.503
2007,I,2,2,1.205
2007,I,2,3,3.736
2007,J,1,1,2.325
2007,J,1,2,3.808
2007,J,1,3,3.083
2007,J,2,1,4.112
2007,J,2,2,2.850
2007,J,2,3,3.005
2007,K,1,1,1.248
2007,K,1,2,2.748
2007,K,1,3,4.055
2007,K,2,1,3.255
2007,K,2,2,3.523
2007,K,2,3,1.559
2007,L,1,1,3.256
2007,L,1,2,4.472
2007,L,1,3,3.050
2007,L,2,1,1.002
2007,L,2,2,1.838
2007,L,2,3,1.644
2007,M,1,1,3.610
2007,M,1,2,2.662
2007,M,1,3,3.357
2007,M,2,1,3.579
2007,M,2,2,2.682
2007,M,2,3,4.405
2007,N,1,1,3.891
2007,N,1,2,4.333
2007,N,1,3,3.490
2007,N,2,1,2.146
2007,N,2,2,2.859
2007,N,2,3,1.644
2007,O,1,1,3.180
2007,O,1,2,0.474
2007,O,1,3,1.499
2007,O,2,1,1.668
2007,O,2,2,3.009
2007,O,2,3,1.753
