Genotype,Block,Environment,Yield
Sicania_P,1,pap_2,0.75
Vesuvio_A,1,pap_2,2.09
Vesuvio_P,1,pap_2,1
Chiaro_A,1,pap_3,4.77
Chiaro_P,1,pap_3,4.5
Collameno_A,1,pap_3,4.03
Collameno_P,1,pap_3,4.36
Palomb_A,1,pap_3,4.6
Palomb_P,1,pap_3,4.07
Scuro_A,1,pap_3,4.31
Scuro_P,1,pap_3,4.17
Sicania_A,1,pap_3,4.4
Sicania_P,1,pap_3,4.25
Vesuvio_A,1,pap_3,4.71
Vesuvio_P,1,pap_3,3.98
Chiaro_A,2,bad_1,4
Chiaro_P,2,bad_1,2.64
Collameno_A,2,bad_1,3.32
Collameno_P,2,bad_1,1.79
Palomb_A,2,bad_1,3.85
Palomb_P,2,bad_1,2.24
Scuro_A,2,bad_1,3.98
Scuro_P,2,bad_1,2.94
Sicania_A,2,bad_1,4.01
Sicania_P,2,bad_1,3.6
Vesuvio_A,2,bad_1,3.94
Vesuvio_P,2,bad_1,2.34
Chiaro_A,2,bad_2,2.44
Chiaro_P,2,bad_2,1.46
Collameno_A,2,bad_2,1.66
Collameno_P,2,bad_2,1.11
Palomb_A,2,bad_2,1.75
Palomb_P,2,bad_2,0.83
Scuro_A,2,bad_2,1.93
Scuro_P,2,bad_2,1.51
Sicania_A,2,bad_2,2.18
Sicania_P,2,bad_2,0.95
Vesuvio_A,2,bad_2,2.37
Vesuvio_P,2,bad_2,1.04
Chiaro_A,2,bad_3,4.44
Chiaro_P,2,bad_3,3.98
Collameno_A,2,bad_3,4.42
Collameno_P,2,bad_3,4.11
Palomb_A,2,bad_3,2.53
Palomb_P,2,bad_3,2.9
Scuro_A,2,bad_3,3.87
Scuro_P,2,bad_3,4.01
Sicania_A,2,bad_3,4.22
Sicania_P,2,bad_3,3.91
Vesuvio_A,2,bad_3,3.14
Vesuvio_P,2,bad_3,3.39
Chiaro_A,2,pap_1,5.36
Chiaro_P,2,pap_1,3.47
Collameno_A,2,pap_1,4
Collameno_P,2,pap_1,2.67
Palomb_A,2,pap_1,5.42
Palomb_P,2,pap_1,3.16
Scuro_A,2,pap_1,5.3
Scuro_P,2,pap_1,3.81
Sicania_A,2,pap_1,4.24
Sicania_P,2,pap_1,4.16
Vesuvio_A,2,pap_1,4.87
Vesuvio_P,2,pap_1,3
Chiaro_A,2,pap_2,2.5
Chiaro_P,2,pap_2,1.5
Collameno_A,2,pap_2,2.19
Collameno_P,2,pap_2,1.04
Palomb_A,2,pap_2,2.42
Palomb_P,2,pap_2,0.98
Scuro_A,2,pap_2,1.63
Scuro_P,2,pap_2,1.73
Sicania_A,2,pap_2,2.04
Sicania_P,2,pap_2,0.73
Vesuvio_A,2,pap_2,2.39
Vesuvio_P,2,pap_2,0.76
Chiaro_A,2,pap_3,3.86
Chiaro_P,2,pap_3,4.35
Collameno_A,2,pap_3,4.25
Collameno_P,2,pap_3,4.1
Palomb_A,2,pap_3,3.61
Palomb_P,2,pap_3,3.93
Scuro_A,2,pap_3,4.16
Scuro_P,2,pap_3,4.51
Sicania_A,2,pap_3,3.88
Sicania_P,2,pap_3,3.82
Vesuvio_A,2,pap_3,3.59
Vesuvio_P,2,pap_3,3.47
Chiaro_A,3,bad_1,4.23
Chiaro_P,3,bad_1,2.25
Collameno_A,3,bad_1,3.27
Collameno_P,3,bad_1,1.57
Palomb_A,3,bad_1,3.98
Palomb_P,3,bad_1,2.05
Scuro_A,3,bad_1,4.39
Scuro_P,3,bad_1,3.12
Sicania_A,3,bad_1,3.94
Sicania_P,3,bad_1,3.16
Vesuvio_A,3,bad_1,4.21
Vesuvio_P,3,bad_1,2
Chiaro_A,3,bad_2,2.75
Chiaro_P,3,bad_2,1.55
Collameno_A,3,bad_2,3.04
Collameno_P,3,bad_2,1.11
Palomb_A,3,bad_2,2.27
Palomb_P,3,bad_2,1.03
Scuro_A,3,bad_2,2.7
Scuro_P,3,bad_2,1.85
Sicania_A,3,bad_2,2.2
Sicania_P,3,bad_2,1.11
Vesuvio_A,3,bad_2,2.02
Vesuvio_P,3,bad_2,1.11
Chiaro_A,3,bad_3,3.53
Chiaro_P,3,bad_3,4.15
Collameno_A,3,bad_3,4.35
Collameno_P,3,bad_3,3.57
Palomb_A,3,bad_3,4.93
Palomb_P,3,bad_3,3.91
Scuro_A,3,bad_3,4.48
Scuro_P,3,bad_3,3.68
Sicania_A,3,bad_3,4.53
Sicania_P,3,bad_3,3.17
Vesuvio_A,3,bad_3,4.09
Vesuvio_P,3,bad_3,3.39
Chiaro_A,3,pap_1,4.34
Chiaro_P,3,pap_1,3.42
Collameno_A,3,pap_1,3.76
Collameno_P,3,pap_1,2.33
Palomb_A,3,pap_1,4.75
Palomb_P,3,pap_1,3.55
Scuro_A,3,pap_1,4.59
Scuro_P,3,pap_1,3.77
Sicania_A,3,pap_1,3.65
Sicania_P,3,pap_1,4.22
Vesuvio_A,3,pap_1,4.34
Vesuvio_P,3,pap_1,3.28
Chiaro_A,3,pap_2,2.64
Chiaro_P,3,pap_2,1.57
Collameno_A,3,pap_2,2.38
Collameno_P,3,pap_2,1.09
Palomb_A,3,pap_2,2.91
Palomb_P,3,pap_2,0.79
Scuro_A,3,pap_2,2.35
Scuro_P,3,pap_2,1.88
Sicania_A,3,pap_2,2.6
Sicania_P,3,pap_2,0.9
Vesuvio_A,3,pap_2,2.25
Vesuvio_P,3,pap_2,0.91
Chiaro_A,3,pap_3,3.25
Chiaro_P,3,pap_3,4.35
Collameno_A,3,pap_3,3.85
Collameno_P,3,pap_3,3.86
Palomb_A,3,pap_3,4.93
Palomb_P,3,pap_3,4.09
Scuro_A,3,pap_3,3.98
Scuro_P,3,pap_3,4.75
Sicania_A,3,pap_3,4.85
Sicania_P,3,pap_3,3.91
Vesuvio_A,3,pap_3,3.59
Vesuvio_P,3,pap_3,3.7
Chiaro_A,4,bad_1,3.83
Chiaro_P,4,bad_1,2.38
Collameno_A,4,bad_1,3.4
Collameno_P,4,bad_1,1.77
Palomb_A,4,bad_1,3.68
Palomb_P,4,bad_1,2.5
Scuro_A,4,bad_1,4.14
Scuro_P,4,bad_1,2.69
Sicania_A,4,bad_1,2.99
Sicania_P,4,bad_1,3.08
Vesuvio_A,4,bad_1,3.93
Vesuvio_P,4,bad_1,1.71
Chiaro_A,4,bad_2,2.14
Chiaro_P,4,bad_2,1.23
Collameno_A,4,bad_2,2.03
Collameno_P,4,bad_2,1.14
Palomb_A,4,bad_2,2.16
Palomb_P,4,bad_2,1.19
Scuro_A,4,bad_2,1.96
Scuro_P,4,bad_2,1.73
Sicania_A,4,bad_2,1.61
Sicania_P,4,bad_2,1.12
Vesuvio_A,4,bad_2,1.95
Vesuvio_P,4,bad_2,1.42
Chiaro_A,4,bad_3,4.34
Chiaro_P,4,bad_3,4.37
Collameno_A,4,bad_3,4.17
Collameno_P,4,bad_3,3.65
Palomb_A,4,bad_3,5.05
Palomb_P,4,bad_3,2.39
Scuro_A,4,bad_3,3.95
Scuro_P,4,bad_3,4.09
Sicania_A,4,bad_3,4.48
Sicania_P,4,bad_3,3.85
Vesuvio_A,4,bad_3,4.44
Vesuvio_P,4,bad_3,3.44
Chiaro_A,4,pap_1,3.99
Chiaro_P,4,pap_1,3.15
Collameno_A,4,pap_1,3.65
Collameno_P,4,pap_1,2.44
Palomb_A,4,pap_1,5.04
Palomb_P,4,pap_1,2.91
Scuro_A,4,pap_1,4.68
Scuro_P,4,pap_1,3.48
Sicania_A,4,pap_1,3.94
Sicania_P,4,pap_1,3.67
Vesuvio_A,4,pap_1,4.53
Vesuvio_P,4,pap_1,2.98
Chiaro_A,4,pap_2,2.45
Chiaro_P,4,pap_2,1.39
Collameno_A,4,pap_2,2.35
Collameno_P,4,pap_2,0.91
Palomb_A,4,pap_2,3.03
Palomb_P,4,pap_2,0.79
Scuro_A,4,pap_2,2.17
Scuro_P,4,pap_2,1.76
Sicania_A,4,pap_2,1.99
Sicania_P,4,pap_2,0.91
Vesuvio_A,4,pap_2,2.33
Vesuvio_P,4,pap_2,1.08
Chiaro_A,4,pap_3,3.52
Chiaro_P,4,pap_3,4.07
Collameno_A,4,pap_3,4.15
Collameno_P,4,pap_3,3.89
Palomb_A,4,pap_3,5.53
Palomb_P,4,pap_3,3.96
Scuro_A,4,pap_3,4.37
Scuro_P,4,pap_3,4.62
Sicania_A,4,pap_3,3.81
Sicania_P,4,pap_3,3.6
Vesuvio_A,4,pap_3,5.4
Vesuvio_P,4,pap_3,3.36
